arousal,valence,dominance
0.21450526,0.17905015,-0.09033837
0.18624343,0.17893241,-0.07283059
0.15565917,0.17581046,-0.057998955
0.1266311,0.1718919,-0.048657883
0.100148916,0.1678371,-0.04504672
0.07861451,0.1644043,-0.04724488
0.0684316,0.17101789,-0.05688612
0.07017333,0.18062088,-0.068897076
0.068764314,0.19389758,-0.08253519
0.06586891,0.20412539,-0.10082662
0.06492514,0.21196495,-0.114016324
0.07474156,0.2153201,-0.13120636
0.08331096,0.21761554,-0.14284527
0.08779354,0.22219755,-0.1644609
0.08596979,0.22470416,-0.19335692
0.08606758,0.22412679,-0.21847501
0.084409,0.22477432,-0.2406171
0.07591733,0.22286212,-0.2561512
0.07198574,0.21423307,-0.2706749
0.07257146,0.20493166,-0.27652356
0.074680336,0.19532451,-0.28078768
0.073857136,0.18621604,-0.2866958
0.07762273,0.17703754,-0.28426236
0.08413261,0.17303696,-0.27809477
0.091050304,0.16525121,-0.27154312
0.09821181,0.15886508,-0.26683053
0.10799889,0.1546354,-0.2649191
0.123435825,0.14996883,-0.26136497
0.12935245,0.14950809,-0.27204597
0.1297678,0.14774328,-0.2822874
0.12718485,0.14361343,-0.27246302
0.13626343,0.14052808,-0.24728484
0.13888158,0.13547643,-0.22311892
0.1424463,0.1326873,-0.19626448
0.14455467,0.13278255,-0.16988997
0.14503483,0.13104902,-0.14788663
0.15074717,0.13616821,-0.12919402
0.168842,0.14392379,-0.111771524
0.17652154,0.14950177,-0.09843835
0.16398805,0.14936449,-0.075829454
0.14130972,0.14465608,-0.05325798
0.115243055,0.13211153,-0.043217823
0.091910236,0.12181386,-0.032137178
0.065433264,0.11123003,-0.01702952
0.03558807,0.09620171,-0.0015618736
0.033023488,0.09775588,-0.008737388
0.033123035,0.095696755,-0.0109212985
0.039692722,0.08102784,-0.018858837
0.036626518,0.073840864,-0.0098311715
0.024458483,0.06228888,0.0023747003
0.013371546,0.03522572,0.022975888
0.009807841,0.02634998,0.03192972
0.011793872,0.029631663,0.033170946
0.021528406,0.04385829,0.028746698
0.037409477,0.06251561,0.01790775
0.042785663,0.07409468,0.011706039
0.040071994,0.08037895,0.01015875
0.035722155,0.08314521,0.0064841933
0.02915183,0.08477411,0.004998311
0.020990366,0.08596947,0.004919933
0.0127548,0.08692577,0.0052818754
0.0056664604,0.08726015,0.0060300548
-0.00021642772,0.08592433,0.006804093
-0.0051956605,0.08124196,0.006172624
0.006953712,0.07451249,-0.007141027
0.029141698,0.07237062,-0.027842253
0.04545042,0.061984655,-0.04854818
0.059539348,0.050868552,-0.07326283
0.0648056,0.049814086,-0.07189723
0.06378839,0.048935995,-0.0671567
0.055419788,0.04820431,-0.05578102
0.039661933,0.043095782,-0.041981064
0.023897458,0.012371123,-0.031424493
0.019519962,-0.0033760155,-0.029953444
0.022429816,-0.0004092909,-0.0353739
0.031999595,0.014583071,-0.046483
0.03713947,0.025880355,-0.056003556
0.045383066,0.04037083,-0.06533293
0.06644832,0.06021469,-0.07506252
0.09037251,0.08338542,-0.09111763
